ko;ko average sample distance;ko krig_var;ko n samples
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
1.#QNAN;1.#QNAN;1.#QNAN;1.#QNAN
